問題発見日,記入者,ユニットコード,図品番,不具合内容,対策内容,発生タイミング,項目,設計回答日,設計回答者,完了予定日,図面修正完了日,対策品集合日,対策完了日,blank,SEで見切るべき,SEで見れない,設計未対応,発生タイミング,項目,サイレン,組付課名,管理番号,製作番号,基盤,設備名,日付差,対策完了日,担当組付課,機種コード,担当設計室
2024/10/10,中村,,,マニホールド下にオイルパン欲しいです,オイルパン用意します,ＳＥ,保全性,2024/10/10,三村,,,,2025/1/27,,,,,ＳＥ,保全性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),243,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/10,中村,,,可動部の油圧ホースの取り回しをU字にしたい,修正済み,ＳＥ,設備品質,2024/10/10,三村,,2024/10/10,,2024/10/10,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),243,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/10,中村,KDH107,,"メカストを調整式にしている理由はなぜですか
必要なければ調整レスにしたいです",調整レスにします。,ＳＥ,作業性,2024/10/10,清水,,2024/10/10,,2024/10/10,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),243,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/15,中村,ASH,,油圧ポンプの固定はどのようにしますか,対角2か所アンカーで固定します。,ＳＥ,安全性,2024/10/15,山口,,2024/10/15,,2024/10/15,,,,,ＳＥ,安全性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),241,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/17,中村,全体,,各部吊り具は基本的にフレノリンクで設計お願いします。,そのように対応します。,ＳＥ,作業性,2024/10/17,各担当,,2024/10/17,,2024/10/17,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),239,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/18,中村,ASM,,必要項目を洗い出し、出図前に織り込む必要があるところは確認お願いします。,ベースのレベル出しぐらいの予定です。,ＳＥ,要望,2024/10/18,花城,,2024/10/18,,2024/10/18,,,,,ＳＥ,要望,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),238,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/18,中村,GXZ117,,センサーBKTのセンサー取付部が長穴なら、BKT取付部に位置決めピンは不要ではないか,"X軸に対する回転は自由度持たせたくないので
ピンで固定したいです。",ＳＥ,作業性,2024/10/18,堀越,,2024/10/18,,2024/10/18,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),238,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/21,中村,GXZ116,,"センサー位置合わせマスターの取付ボルトがM6で
4本も必要ないと思いますので最小限でお願いします。",ボルト数2本に変更します。,ＳＥ,作業性,2024/10/21,阿部,,2024/10/21,,2024/10/21,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),237,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/22,中村,GXZ116,,リンククランプの部位でブッシュが２つ並んでいるがクリアランスがないため、ナットを締め付けるとブッシュが潰される,"各部品の公差にてブッシュ間に隙間が
できるよう設計します。",ＳＥ,設備品質,2024/10/22,阿部,,2024/10/22,,2024/10/22,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),236,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/22,中村,GXZ116,,"リンククランプの保護カバーの固定ボルト
（六角支柱の反対側）
4本も必要ないと思いますので減らせないか",2本に減らします。,ＳＥ,作業性,2024/10/22,阿部,,2024/10/22,,2024/10/22,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),236,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/22,中村,GXZ116,,"リンククランプの保護カバーの固定ボルト（六角支柱側）
M12になっている。サイズダウンお願いします。",サイズダウンします。,ＳＥ,作業性,2024/10/22,阿部,,2024/10/22,,2024/10/22,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),236,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/22,中村,補機,,"（品番ないためショット図参照）ビードがかなり近いため
干渉の恐れあり",形状変更,ＳＥ,ポカミス,2024/10/22,三村,,2024/10/22,,2024/10/22,,,,,ＳＥ,ポカミス,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),236,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/25,中村,KDH107,,NO23の内容で平行出しは可能ですがボールねじ対LMの高さ出しはどうされますか？,"GXZ117-023ボールねじナット取付ブロックの
ナットはめあい部をガタにしています",ＳＥ,設備品質,2024/10/25,清水,,2024/10/25,,2024/10/25,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),233,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/25,中村,VGU104,,ベースの角R部分によってアルミフレームの角が剝き出しになる部分にｷｬｯﾌﾟなどの保護をお願いします。,すいません。Rr機から対応させてください。,ＳＥ,安全性,2024/10/25,花城,,2024/10/25,,2024/10/25,,,,,ＳＥ,安全性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),233,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/25,中村,,,基礎図の発行お願いします。,11/15出図予定です,ＳＥ,,2024/10/25,花城,,2024/10/25,,2024/10/25,,,,,ＳＥ,,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),233,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/28,中村,HWD178,,"ベースがある状態でアンカー穴あけ作業ができない
（今回は先空け対応）",先空けでお願いします,ＳＥ,作業性,2024/10/28,花城,,2024/10/28,,2024/10/28,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),232,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/30,中村,その他,,締付けチェックのペン色と、増し締めチェック時のペン色の指定ありますでしょうか,"特に指定はありません（素技　田中さんに確認）
→黄色でチェックする（耐久後の増し締めは白）",ＳＥ,懸念事項,2024/10/30,花城,,2024/10/30,,2024/10/30,,,,,ＳＥ,懸念事項,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),230,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/30,中村,VGU104,,"側面の保全用扉が、Rrとの設備間が６００しかない為
開き切らない",上郷保全高橋さんに了承いただいています。,ＳＥ,保全性,2024/10/30,花城,,2024/10/30,,2024/10/30,,,,,ＳＥ,保全性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),230,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/30,中村,VGU104,,"電磁ロックの金具が取り付くBKTがｔ＝３で
少し弱くないか",電磁ロックをキーエンスのものに変更したため、取付構造変更しています。,ＳＥ,設備品質,2024/10/30,花城,,2024/10/30,,2024/10/30,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),230,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/30,中村,VGU104,,"電磁ロック取付板が高さ方向に調整できるように長穴に
なっているが下側にずらすと扉と干渉する
長穴は板が上側に調整できるようにしてほしい）","電磁ロックをキーエンスのものに変更したため、
取付構造変更しています。",ＳＥ,設備品質,2024/10/30,花城,,2024/10/30,,2024/10/30,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),230,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/30,中村,VGU104,,"シャッター下部のカムフォロアに当たるL字のBKTは
L字ではなく平板にして高さ方向の調整ができるようにしたらどうか",平板にするとスペース的に厳しいので、L字のままでクリアランスを7㎜狙いに変更します,ＳＥ,作業性,2024/10/30,花城,,2024/10/30,,2024/10/30,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),230,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/30,中村,VGU104,,"シャッターの電磁ロックがスムーズに嵌り合うような
工夫が必要になるとおもいます",キーエンスのモノは、割と首が動くため、多少位置がずれても入ると思っていいます,ＳＥ,設備品質,2024/10/30,花城,,2024/10/30,,2024/10/30,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),230,2025/9/24,QEF11,AZ1021,0:00:00
2024/10/31,中村,補機,,"クランプ横の曲げBKTの穴位置が合わない可能性有
片側長穴にするべきか",形状変更,ＳＥ,作業性,2024/10/31,三村,,2024/10/31,,2024/10/31,,,,,ＳＥ,作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),229,2025/9/24,QEF11,AZ1021,0:00:00
2024/11/11,中村,VGU104,,取っ手の位置が高い,位置を下げます,"ＳＥ
（ＤＲ）",作業性,2024/11/11,花城,2024/1/10,2025/1/14,,2025/1/27,,,,,"ＳＥ
（ＤＲ）",作業性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),-208,2024/1/10,QEF11,AZ1021,0:00:00
2024/11/11,中村,補機,,"配管カバーによって、リンククランプのカバー
取付ボルトにアクセスができない",形状変更,"ＳＥ
（ＤＲ）",保全性,2024/11/11,三村,,2024/11/11,,2024/11/11,,,,,"ＳＥ
（ＤＲ）",保全性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),222,2025/9/24,QEF11,AZ1021,0:00:00
2024/11/11,中村,,,口金交換作業時にセンサーへ工具などをぶつける恐れがある,センサーにカバーを付けます,"ＳＥ
（ＤＲ）",保全性,2024/11/11,堀越,,2024/11/11,,2024/11/11,,,,,"ＳＥ
（ＤＲ）",保全性,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),222,2025/9/24,QEF11,AZ1021,0:00:00
2024/11/20,中村,その他,,"基礎図に油圧ポンプの位置決めガイドプレートの
アンカー位置が記されていない",基礎図修正します,ＳＥ,設備品質,2024/11/20,山口,,2024/11/20,,2024/11/20,,,,,ＳＥ,設備品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),215,2025/9/24,QEF11,AZ1021,0:00:00
2024/11/26,中村,ASH,,"鋼管のカシメ治具の型式ミスにより使用不可
（正はCE用）",追加手配,総組付,ポカミス,2024/11/26,三村,,2024/11/26,,2024/11/26,,,,,総組付,ポカミス,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),211,2025/9/24,QEF11,AZ1021,0:00:00
2024/11/26,杉浦,ACF180,ACF180-023K,"シリンダー挿入穴φ90部穴が
小さくてシリンダーが入らない","meviy図面における公差設定抜け
→追加工図(ACF180-029）を出図して穴径修正",,製品品質,2024/11/26,鈴木正,,2024/11/26,,2024/11/26,,,,,,製品品質,,第2組付課,5UQ0626,21402,KZEV4599,ギガキャスト矯正機(Fr),211,2025/9/24,QEF11,AZ1021,0:00:00
